,control1,lps1,control2,lps2,control3,lps3
AGAP11,127,38,327,34,270,86
AGAP2,713,799,635,791,780,738
AGAP2-AS1,6,5,2,4,9,7
AGAP3,7677,6581,6854,4903,6204,5494
AGAP4,256,235,211,215,332,268
AGAP5,367,276,305,230,432,315
AGAP6,1049,585,687,429,852,661
AGAP7,13,8,5,6,2,1
AGAP9,806,495,775,724,252,113
AGBL1,0,0,0,0,0,0
AGBL1-AS1,0,0,0,0,0,0
AGBL2,13,25,28,85,15,45
AGBL3,38,28,26,25,36,32
AGBL4,0,0,1,0,0,0
AGBL4-IT1,0,0,0,0,0,0
AGBL5,392,412,419,352,483,469
AGBL5-AS1,1,0,1,0,0,0
AGER,242,255,98,181,204,299
AGFG1,5184,5513,4740,5023,5350,6129
AGFG2,764,817,678,1252,351,739
AGGF1,3392,2393,3028,2444,3558,2650
AGK,1177,1386,1065,1483,1005,1355
AGL,2687,1521,2659,1501,2255,1670
AGMAT,63,15,30,17,27,18
AGMO,0,0,0,0,0,0
AGO1,6451,3398,6276,2703,5796,4100
AGO2,1450,1312,944,1502,1451,1702
AGO3,987,1257,815,1122,986,1552
AGO4,3242,2853,2754,3317,3638,2966
AGPAT1,2327,2857,2137,2309,2808,2956
AGPAT2,2941,2267,2399,2731,3775,2310
AGPAT3,8204,7789,6552,9190,7618,7611
AGPAT4,1700,1329,2165,2289,2088,1225
AGPAT4-IT1,170,224,148,342,197,256
AGPAT5,2241,304,1091,335,1042,229
AGPAT6,4729,4742,4151,4877,4502,4972
AGPAT9,7730,2794,9231,5323,6586,6208
AGPS,6583,3210,5933,3276,6144,3065
AGR2,1,0,0,1,0,0
AGR3,0,0,0,0,0,0
AGRN,5756,20427,6119,24247,3748,15580
AGRP,4,1,4,4,14,5
AGT,0,0,0,0,1,0
AGTPBP1,1805,1542,1391,1050,1584,1388
AGTR1,0,15,1,17,0,13
AGTR2,0,0,0,0,0,0
AGTRAP,2228,3082,2266,3664,2181,3298
AGXT,0,0,0,0,0,0
AGXT2,0,0,0,0,0,0
AHCTF1,3866,3100,2752,2662,2613,3521
AHCTF1P1,55,36,20,9,15,11
AHCY,8077,1722,5520,1171,6775,1526
AHCYL1,13796,10720,25921,11680,12976,14526
AHCYL2,1590,875,1398,1022,1427,995
AHDC1,956,541,1155,475,859,784
AHI1,1218,806,1250,954,1081,1052
AHNAK,198836,69681,166761,69298,185661,75547
AHNAK2,413,100,645,347,389,131
AHR,6463,14211,6612,18448,7187,14971
AHRR,6710,11315,5114,9213,8367,11129
AHSA1,4480,3699,3124,3482,3833,3747
AHSA2,2831,1961,2517,1782,3204,2171
AHSG,0,0,0,0,0,0
AHSP,0,0,2,1,0,0
AICDA,14,6,20,1,31,17
AIDA,1743,2397,1653,4112,1673,2247
AIF1,5933,2251,2137,943,9226,3026
AIF1L,3,4,8,4,2,3
AIFM1,3229,1432,3208,1111,2860,1447
AIFM2,1677,3708,2913,5317,2181,3882
AIFM3,237,106,65,72,295,115
AIG1,155,47,49,134,276,55
AIM1,12515,15710,13662,11253,9846,12988
AIM1L,13,1,15,5,10,11
AIM2,6,292,4,638,8,157
AIMP1,1890,1421,1606,1211,1620,1415
AIMP2,1094,456,725,407,762,442
AIP,1809,1976,1807,1954,1671,1921
AIPL1,0,0,0,0,1,0
AIRE,0,4,0,2,1,6
AIRN,0,0,2,0,0,1
AJAP1,0,1,0,0,0,1
AJUBA,3,3,0,7,2,5
AK1,1573,493,2228,600,1275,681
AK2,5877,3683,3552,3284,4634,3054
AK3,2356,1267,2621,1832,2318,1441
AK4,933,2270,1761,1874,404,1753
AK5,166,29,221,48,12,9
AK6,747,461,598,390,671,484
AK7,4,1,2,1,2,1
AK8,152,934,379,1743,107,848
AK9,215,147,295,168,171,165
AKAP1,2405,703,1475,726,1733,820
AKAP10,2864,2868,2381,2613,2447,2550
AKAP11,7588,4428,3926,3510,8266,4745
AKAP12,8,8,8,40,6,22
AKAP13,12298,21944,13922,19554,13618,26279
AKAP14,0,1,1,0,2,0
